Stat,Total,Mean,Dev,Min,Max
Call Wait,6000,5.770160,4.418497,0.000000,22.094143
Call in System,5999,9.746281,3.714657,1.047243,19.759047
Call Duration,4856,5.491084,2.604546,1.000275,9.997803
Calls Attended,6000,0.809500,0.392728,0.000000,1.000000
Client Wait,14855,10.317207,29.185992,0.000000,361.870354
Client in System,12290,19.607746,33.984445,0.205717,393.747934
Manager Wait,2582,42.971469,58.970911,0.000000,361.870354
Manager Duration,2582,10.115257,3.970364,0.250733,24.764223
Teller Wait,3633,3.048428,5.441702,0.000000,51.844464
Teller Duration,3633,7.114611,2.876479,0.205717,16.965734
ATM Wait,8640,3.615144,5.233116,0.000000,45.755213
ATM Duration,8639,4.139626,1.856091,0.201708,11.671191
